"title","image_path","is_broken"
"KahlÃºa Chocolate Pudding...with Oatmeal Chocolate Chip Cookies.","images/kahl-a-chocolate-pudding-with-oatmeal-chocolate-chip-cookies-.jpg",TRUE
"Late Summer Corn And Lobster French Onion Chowder with GruyÃ¨re Toasties.","images/late-summer-corn-and-lobster-french-onion-chowder-with-gruy-re-toasties-.jpg",TRUE
"Lobster Burgers w/Browned Butter Lemon Aioli + Basil Corn Salsa, Bacon ânâ Avocado.","images/lobster-burgers-w-browned-butter-lemon-aioli-basil-corn-salsa-bacon-n-avocado-.jpg",TRUE
"Mom's Chicken Florentine with Creamy Roasted Garlic Polenta.","images/mom-s-chicken-florentine-with-creamy-roasted-garlic-polenta-.jpg",TRUE
"Quick Cauliflower ""Risotto"" with Asparagus + Cilantro-Basil Hemp Seed Pesto.","images/quick-cauliflower-risotto-with-asparagus-cilantro-basil-hemp-seed-pesto-.jpg",TRUE
"Quick + Simple Pasta ""Risotto"" with Herbed Roasted Chickpeas.","images/quick-simple-pasta-risotto-with-herbed-roasted-chickpeas-.jpg",TRUE
"Spinach and Artichoke Corn Fritters with Brie and Sweet Honey Jalapeno Cream.","images/spinach-and-artichoke-corn-fritters-with-brie-and-sweet-honey-jalapeno-cream-.jpg",TRUE
"Sweet Kentucky Bourbon Corn Pudding with Candied JalapeÃ±os.","images/sweet-kentucky-bourbon-corn-pudding-with-candied-jalape-os-.jpg",TRUE
"Sweet Tea Oven-Fried Chicken Sliders w/ Jalapeno Cheddar Corn Slaw + Crispy Onions.","images/sweet-tea-oven-fried-chicken-sliders-w-jalapeno-cheddar-corn-slaw-crispy-onions-.jpg",TRUE
"Thai Peanut Chicken Wings with Fiery Pineapple-JalapeÃ±o Salsa.","images/thai-peanut-chicken-wings-with-fiery-pineapple-jalape-o-salsa-.jpg",TRUE
"The TJ Hooker Pizza (Chipotle BBQ and Sweet Chili Pineapple + JalapeÃ±o Pizza with Bacon)!","images/the-tj-hooker-pizza-chipotle-bbq-and-sweet-chili-pineapple-jalape-o-pizza-with-bacon-.jpg",TRUE
"Vegan BLT (...minus that egg) with Chipotle Tahini ""Mayo"".","images/vegan-blt-minus-that-egg-with-chipotle-tahini-mayo-.jpg",TRUE
"Vegan Chocolate Cake with Creamy Chocolate Almond Butter ""Buttercream"".","images/vegan-chocolate-cake-with-creamy-chocolate-almond-butter-buttercream-.jpg",TRUE
"Whipped Feta and Roasted JalapeÃ±o Greek Pizza","images/whipped-feta-and-roasted-jalape-o-greek-pizza.jpg",TRUE
